id;start_date;end_date;language
1;2019-12-19T04:31:22;2019-12-18T21:39:39;FRENCH
2;2019-12-18T15:07:37;2019-12-19T03:53:18;ENGLISH
3;2019-12-18T14:34:04;2019-12-18T16:30:24;FRENCH
4;2019-12-19T02:19:54;2019-12-18T18:41:33;ENGLISH
5;2019-12-19T05:29:29;2019-12-19T06:04:27;FRENCH
6;2019-12-18T11:44:47;2019-12-18T08:46:09;SPANISH
7;2019-12-18T20:54:50;2019-12-18T23:57:58;ENGLISH
8;2019-12-18T22:42:47;2019-12-19T07:07:26;FRENCH
9;2019-12-18T23:17:12;2019-12-19T07:54:36;ENGLISH
10;2019-12-18T16:28:07;2019-12-18T15:51:44;SPANISH
